name,Mains,Takeaway only,Bites,Drinks,location,priceRange
Andes by Astons,Y,,,,Bukit Panjang Plaza,
ARABISK,Y,,,,Bukit Panjang Plaza,
Bee Cheng Hiang,,,Y,,Bukit Panjang Plaza,
Bengawan Solo,,,Y,,Bukit Panjang Plaza,
Bibimbap! / Dosirak!,Y,,,,Bukit Panjang Plaza,
Bober Tea,,,,Y,Bukit Panjang Plaza,
Boost Juice Bars,,,,Y,Bukit Panjang Plaza,
BURGER KING,Y,,,,Bukit Panjang Plaza,
Chinatown Tan's Tutu Coconut Cake,,,Y,,Bukit Panjang Plaza,
CRAVE,Y,Y,,,Bukit Panjang Plaza,
Cravy For Crispy Chicken,,Y,Y,,Bukit Panjang Plaza,
Fish With You,Y,,,,Bukit Panjang Plaza,
Fong Sheng Hao,Y,,,,Bukit Panjang Plaza,
Four Leaves,,,Y,,Bukit Panjang Plaza,
Gado & Grill,Y,,,,Bukit Panjang Plaza,
Gokoku Japanese Bakery,,,Y,,Bukit Panjang Plaza,
Greendot,Y,,,,Bukit Panjang Plaza,
Hawkers' Street (Food Court),Y,,,,Bukit Panjang Plaza,
Ichiban Sushi,Y,,,,Bukit Panjang Plaza,
KFC,Y,,,,Bukit Panjang Plaza,
Koo Kee,Y,,,,Bukit Panjang Plaza,
Lao Huo Tang Restaurant,Y,,,,Bukit Panjang Plaza,
LAU WANG CLAYPOT,Y,,,,Bukit Panjang Plaza,
LiHO,,,,Y,Bukit Panjang Plaza,
McDonald's,Y,,,,Bukit Panjang Plaza,
MICUN Bibimbap,Y,,,,Bukit Panjang Plaza,
MIXUE,,,Y,Y,Bukit Panjang Plaza,
Mr Bean,,,Y,Y,Bukit Panjang Plaza,
NENE CHICKEN,Y,,,,Bukit Panjang Plaza,
Now Pizza,,Y,Y,,Bukit Panjang Plaza,
Old Chang Kee,,Y,Y,,Bukit Panjang Plaza,
Pizza Hut,Y,,,,Bukit Panjang Plaza,
PlayMade,,,Y,Y,Bukit Panjang Plaza,
rrooll,,,Y,,Bukit Panjang Plaza,
Shan Cheng,Y,,,,Bukit Panjang Plaza,
Song Fa Bak Kut Teh,Y,,,,Bukit Panjang Plaza,
Subway,Y,,,,Bukit Panjang Plaza,
Swee Heng Bakery,,,Y,,Bukit Panjang Plaza,
Swensen's,Y,,,,Bukit Panjang Plaza,
Tonkotsu Kazan,Y,,,,Bukit Panjang Plaza,
Twelve Cupcakes,,,Y,,Bukit Panjang Plaza,
Wine Connection,,,,Y,Bukit Panjang Plaza,
WOK HEY,Y,Y,,,Bukit Panjang Plaza,
Xi Men Jie,Y,,,,Bukit Panjang Plaza,
Ya Kun Kaya Toast,,Y,Y,,Bukit Panjang Plaza,
Yakiniku Like,Y,,,,Bukit Panjang Plaza,
Yes Lemon,,,Y,,Bukit Panjang Plaza,
Yu Ding,Y,Y,,,Bukit Panjang Plaza,
