name,Mains,Takeaway only,Bites,Drinks,location,priceRange
Ajisen Ramen,Y,,,,Lot One,
BBQ Express,Y,,,,Lot One,
Bee Cheng Hiang,,,Y,,Lot One,
Bengawan Solo,,,Y,,Lot One,
Boost Juice Bars,,,,Y,Lot One,
Chateraise,,,Y,,Lot One,
CHICHA San Chen (????),,,,Y,Lot One,
CocoCane,,,,Y,Lot One,
CRAVE,Y,Y,,,Lot One,
Delifrance,Y,,Y,,Lot One,
Dian Xiao Er,Y,,,,Lot One,
EAT.,Y,,,,Lot One,
Food Junction,Y,,,,Lot One,
Four Leaves,,,Y,,Lot One,
Fun Toast,Y,,Y,,Lot One,
Gong Cha,,,,Y,Lot One,
Hainanese Curry Rice,Y,,,,Lot One,
Ho Kee Pau,,,Y,,Lot One,
JUEWEI BRAISED SNACKS,,,Y,,Lot One,
KFC,Y,,,,Lot One,
Maki-San,Y,,,,Lot One,
McDonald's,Y,,,,Lot One,
MENDON,Y,,,,Lot One,
Miss Tea,,,,Y,Lot One,
Mr Bean,,,Y,Y,Lot One,
munchi PANCAKES,,,Y,,Lot One,
Nine Fresh,,,Y,Y,Lot One,
PASTAMANIA,Y,,,,Lot One,
PEZZO,,,Y,,Lot One,
POLAR Puffs& Cakes,,,Y,,Lot One,
PrimaDéli,,,Y,,Lot One,
Reg Ginger,Y,,,,Lot One,
san.wich,,Y,Y,,Lot One,
Sanook Kitchen,Y,,,,Lot One,
Shiok Burger,Y,,,,Lot One,
Snackz i,,,,,Lot One,
stuff'd,Y,Y,,,Lot One,
Subway,Y,,,,Lot One,
Sushiro,Y,,,,Lot One,
SWEE HENG 1989 Classic,,,Y,,Lot One,
TamJai SamGor Mixian,Y,,,,Lot One,
Tenderfresh XPRESS,Y,,,,Lot One,
The Coffee Bean & Tea Leaf,,,Y,Y,Lot One,
The Whale Tea,,,,Y,Lot One,
Tokyo Shokudo / Milan Shokudo,Y,,,,Lot One,
Tori Story,Y,,,,Lot One,
WOK HEY,Y,Y,,,Lot One,
